trigram,count
türk milliyetçisi aday,4
türkiye cumhuriyeti devleti,3
ilk günden beri,3
beni rahatsız ediyor,3
biliyor musunuz ben,3
üzerinde uzlaşılan türk,3
uzlaşılan türk milliyetçisi,3
oyunu verecek sayın,3
civarında oyu var,3
sayın ekmelettin ihsanoğlu,3
bizim fakir olduğumuzu,3
fakir olduğumuzu gösterir,3
yüksek lise statüsünde,3
kadın çocuk yaşlı,2
ister misiniz siz,2
kurulmasını ister misiniz,2
pkk istan ardından,2
istan ardından büyük,2
ardından büyük israil,2
türkiye göç ettirilmeden,2
