trigram,count
katma değeri yüksek,6
değeri yüksek ürün,6
emine şen yaşar,6
yüksek yetenek inşası,4
olağanüstü gelişmeler oluyor,3
siyaset konusu olmazsa,3
terör insanlık suçudur,3
siyasi ahlak kanunu,3
güzel gelecek inşa,3
eşittir taban fiyat,2
türkiye üretmesi lazım,2
dünyada söz sahibi,2
yüksek ürün üreten,2
ürün üreten ülkelerin,2
üreten ülkelerin pazarı,2
güçlü sosyal devlet,2
teknolojide olağanüstü gelişmeler,2
kim haksızlığa uğruyorsa,2
büyükşehir belediye başkanı,2
verenlere oy vermeyeceksiniz,2
