anchor,cluster,following_word,count
ben,ben türk,türk,4
ben,ben cumhurbaşkanı,cumhurbaşkanı,3
ben,ben evime,evime,3
ben,ben sizin,sizin,3
ben,ben size,size,3
ben,ben inanıyorum,inanıyorum,2
ben,ben türkiye,türkiye,2
ben,ben bireysel,bireysel,2
ben,ben ihraç,ihraç,2
ben,ben başka,başka,2
ben,ben buradan,buradan,2
ben,ben aday,aday,2
ben,ben sorumluluk,sorumluluk,2
ben,ben anlamıyorum,anlamıyorum,2
ben,ben kahraman,kahraman,2
ben,ben çocukluğum,çocukluğum,1
ben,ben imam,imam,1
ben,ben iş,iş,1
ben,ben vatandaşlarıma,vatandaşlarıma,1
ben,ben zamanında,zamanında,1
ben,ben elbette,elbette,1
ben,ben çağrıda,çağrıda,1
ben,ben teşekkür,teşekkür,1
ben,ben ığdırlıyım,ığdırlıyım,1
ben,ben saydım,saydım,1
ben,ben karar,karar,1
ben,ben soru,soru,1
ben,ben yıllardır,yıllardır,1
ben,ben hemen,hemen,1
ben,ben rakka,rakka,1
biz,biz hdp,hdp,3
biz,biz asgari,asgari,2
biz,biz ilk,ilk,2
biz,biz türkiye,türkiye,2
biz,biz evimize,evimize,2
biz,biz türk,türk,2
biz,biz bize,bize,2
biz,biz sayın,sayın,2
biz,biz ilkeler,ilkeler,2
biz,biz milletimizi,milletimizi,1
biz,biz kayıtsız,kayıtsız,1
biz,biz net,net,1
biz,biz internette,internette,1
biz,biz bugün,bugün,1
biz,biz hepimiz,hepimiz,1
biz,biz ciddi,ciddi,1
biz,biz öncelikle,öncelikle,1
biz,biz son,son,1
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,1
biz,biz doğrudan,doğrudan,1
biz,biz türkiyeyi,türkiyeyi,1
biz,biz devleti,devleti,1
biz,biz kendimiz,kendimiz,1
biz,biz kendimizi,kendimizi,1
biz,biz yöneteceğiz,yöneteceğiz,1
biz,biz ığdır,ığdır,1
biz,biz komşusu,komşusu,1
biz,biz yeterince,yeterince,1
biz,biz yasaklamışız,yasaklamışız,1
biz,biz batı,batı,1
devlet,devlet adamları,adamları,2
devlet,devlet imkanlarıyla,imkanlarıyla,2
devlet,devlet adamı,adamı,2
devlet,devlet bey,bey,2
devlet,devlet kapısında,kapısında,1
devlet,devlet başkanı,başkanı,1
devlet,devlet para,para,1
devlet,devlet diyor,diyor,1
devlet,devlet imkanıyla,imkanıyla,1
devlet,devlet tarafından,tarafından,1
devlet,devlet olmaya,olmaya,1
devlet,devlet bilmeyecek,bilmeyecek,1
devlet,devlet rayından,rayından,1
devlet,devlet televizyonları,televizyonları,1
devlet,devlet terbiyem,terbiyem,1
devlet,devlet sırrı,sırrı,1
devlet,devlet kurumunda,kurumunda,1
devlet,devlet şifresi,şifresi,1
devlet,devlet adamıyım,adamıyım,1
devlet,devlet aklı,aklı,1
devlet,devlet katkısından,katkısından,1
devlet,devlet adamına,adamına,1
millet,millet ittifakı,ittifakı,14
millet,millet hakikaten,hakikaten,1
millet,millet aklı,aklı,1
türk,türk milliyetçisi,milliyetçisi,21
türk,türk milletinin,milletinin,14
türk,türk milliyetçileri,milliyetçileri,10
türk,türk milleti,milleti,9
türk,türk milliyetçilerini,milliyetçilerini,9
türk,türk milliyetçilerinin,milliyetçilerinin,9
türk,türk milletine,milletine,6
türk,türk siyasetinde,siyasetinde,5
türk,türk siyasetinin,siyasetinin,5
türk,türk genci,genci,3
türk,türk dünyasının,dünyasının,3
türk,türk milliyetçisiyim,milliyetçisiyim,3
türk,türk milliyetçiliği,milliyetçiliği,3
türk,türk devletleri,devletleri,3
türk,türk milletini,milletini,2
türk,türk dünyasına,dünyasına,2
türk,türk siyaseti,siyaseti,2
türk,türk dünyası,dünyası,2
türk,türk siyasetinden,siyasetinden,2
türk,türk siyasetini,siyasetini,2
türk,türk siyasetindeki,siyasetindeki,2
türk,türk devlet,devlet,2
türk,türk yüzyılı,yüzyılı,2
türk,türk siyasal,siyasal,1
türk,türk sözünü,sözünü,1
türk,türk vatandaşının,vatandaşının,1
türk,türk gencinin,gencinin,1
türk,türk kadınlarının,kadınlarının,1
türk,türk filmi,filmi,1
türk,türk mühendisler,mühendisler,1
türkiye,türkiye cumhuriyeti,cumhuriyeti,10
türkiye,türkiye ittifakı,ittifakı,5
türkiye,türkiye göç,göç,3
türkiye,türkiye kamu,kamu,2
türkiye,türkiye suç,suç,2
türkiye,türkiye suriyeliler,suriyeliler,2
türkiye,türkiye kaçanların,kaçanların,2
türkiye,türkiye yurt,yurt,2
türkiye,türkiye ikinci,ikinci,1
türkiye,türkiye genelinde,genelinde,1
türkiye,türkiye inşa,inşa,1
türkiye,türkiye kripto,kripto,1
türkiye,türkiye sunacağız,sunacağız,1
türkiye,türkiye vaat,vaat,1
türkiye,türkiye tarih,tarih,1
türkiye,türkiye son,son,1
türkiye,türkiye batıdan,batıdan,1
türkiye,türkiye toplam,toplam,1
türkiye,türkiye türk,türk,1
türkiye,türkiye geliyor,geliyor,1
türkiye,türkiye internet,internet,1
türkiye,türkiye sayısal,sayısal,1
türkiye,türkiye yapabilecek,yapabilecek,1
türkiye,türkiye geneline,geneline,1
türkiye,türkiye kötü,kötü,1
türkiye,türkiye liyakatsiz,liyakatsiz,1
türkiye,türkiye rant,rant,1
türkiye,türkiye sonradan,sonradan,1
türkiye,türkiye akp,akp,1
türkiye,türkiye anlayışıyla,anlayışıyla,1
