anchor,cluster,following_word,count
ben,ben sizin,sizin,1
ben,ben öğrenmeden,öğrenmeden,1
ben,ben alana,alana,1
ben,ben gerekçe,gerekçe,1
ben,ben asgari,asgari,1
ben,ben kalkıp,kalkıp,1
ben,ben hiçbir,hiçbir,1
ben,ben adayım,adayım,1
ben,ben parti,parti,1
ben,ben grup,grup,1
ben,ben istiyorum,istiyorum,1
ben,ben ısrar,ısrar,1
ben,ben yapmıyorum,yapmıyorum,1
ben,ben siyasal,siyasal,1
ben,ben ahlaki,ahlaki,1
biz,biz onları,onları,2
biz,biz yüzde,yüzde,1
biz,biz oraya,oraya,1
biz,biz yapmadık,yapmadık,1
biz,biz kazanacaktık,kazanacaktık,1
biz,biz biliyoruz,biliyoruz,1
biz,biz yarın,yarın,1
biz,biz kaybetseydik,kaybetseydik,1
biz,biz birbirimizi,birbirimizi,1
biz,biz aldık,aldık,1
biz,biz olayı,olayı,1
biz,biz önce,önce,1
biz,biz kendi,kendi,1
biz,biz türkiye,türkiye,1
biz,biz olaya,olaya,1
biz,biz parlamentoda,parlamentoda,1
biz,biz iyi,iyi,1
biz,biz oturuyoruz,oturuyoruz,1
biz,biz toplumun,toplumun,1
biz,biz siyaseten,siyaseten,1
